Longitude,Latitude,Mean,Standard_Deviation,Max_Precipitation,New_Mean,New_Standard_Deviation,Elevation,Km,a,b,Estimated_FF,Estimated_PMP
70.875,23.625,86.8459375,62.13376182,302.73,83.41920635,56.30599137,51,3.894981481,16.9,-0.0098,7.215441876026634,493.11854550229225
70.875,23.875,87.63265625,66.50697873,337.55,83.66571429,59.04441693,33,4.299886406,18.3,-0.0109,7.040682466406503,503.34564726824624
70.875,24.125,82.32484375,60.39071791,295.8,78.93634921,54.49850472,0,3.979258732,61.2,-0.0228,9.366511783994545,592.7857304199623
70.875,25.125,55.0640625,24.65606611,120.12,54.03142857,23.43770134,136,2.819754825,9.04,-0.0051,6.826638978792875,215.06478804095002
70.875,25.375,62.81375,44.9180184,229.55,60.16714286,40.01705067,187,4.232767141,9.04,-0.0051,6.562089341353462,325.4092116740085
70.875,25.625,57.6803125,41.37506967,236.98,54.83428571,34.93819926,220,5.213368696,9.04,-0.0051,6.736156975646955,293.02950716179225
70.875,25.875,48.02515625,32.76582051,197.41,45.65396825,27.03327888,216,5.613674628,9.04,-0.0051,7.0761563900426205,239.31686534051624
70.875,26.125,41.89453125,27.44849529,152.11,40.14507937,23.8642347,244,4.691745703,9.04,-0.0051,7.300895888154772,216.12482424519044
70.875,26.375,40.91171875,29.69709458,149.04,39.19539683,26.59675573,200,4.130000076,9.04,-0.0051,7.337582353809638,236.0676042630334
70.875,26.625,41.79296875,31.48333471,157.72,39.95285714,28.11101238,297,4.189359716,9.21,-0.0059,7.197338714023036,244.11744644295482
70.875,26.875,46.08875,36.16779716,186.98,43.85238095,31.76140769,237,4.506337391,9.8,-0.0078,6.840700479513094,263.35902681499385
70.875,27.125,42.29765625,32.18612467,177.0,40.15952381,27.56459971,187,4.964355646,9.8,-0.0078,7.046004136055921,236.51793981538583
70.875,27.375,38.54921875,27.34100334,151.29,36.75968254,23.54654701,154,4.863996297,9.8,-0.0078,7.255055088079816,209.38071444161108
70.875,27.625,38.31890625,25.37303152,129.27,36.8752381,22.81714823,124,4.049356254,15.0,-0.0169,7.8495851673719965,217.42405455793622
71.125,20.875,84.6875,34.62859887,215.38,82.61301587,30.70424766,35,4.324059186,13.7,-0.0073,7.382978019048027,311.3762855651868
71.125,21.125,99.05265625,81.6770531,459.92,93.32460317,68.38972321,307,5.360387199,13.7,-0.0073,6.647969317263443,553.7054377662196
71.125,21.375,78.0553125,47.138823,271.24,74.98888889,40.68845689,168,4.823262569,13.7,-0.0073,7.749218903060619,393.3590717683551
